SA1,Area,Green Area
2114304,0.076,0
2114305,0.111,0
2114306,0.081,0
2114307,0.092,0
2114308,0.155,0
2114309,0.074,0
2114310,0.093,0
2114311,0.073,0
2114312,0.066,0
2114313,0.039,0
2114314,0.077,0
2114315,0.077,0
2114316,0.105,0
2114317,0.075,0
2114318,0.059,0
2114319,0.152,0
2114320,0.079,0
2114321,0.053,0
2114322,0.094,0
2114323,0.26,0
2114324,0.176,0
2114325,0.078,0
2114326,0.076,0
2114327,0.077,0
2114401,0.11,0
2114402,0.016,0
2114403,0.054,0
2114404,0.072,0
2114405,0.017,0
2114406,0.013,0
2114407,0.022,0
2114408,0.06,0
2114409,0.069,0
2114410,0.083,0
2114411,0.161,0
2114412,0.238,0
2114413,0.065,0
2114414,0.271,0
2114415,0.062,0
2114416,0.08,0
2114417,0.072,0
2114418,0.098,0
2114419,0.054,0
2114420,0.046,0
2114421,0.048,0
2114422,0.049,0
2114423,0.071,0
2114424,0.061,0
2114425,0.053,0
2114426,0.057,0
2114427,0.077,0
2114428,0.093,0
2114429,0.108,0
2114430,0.057,0
2114431,0.073,0
2114432,0.07,0
2114433,0.045,0
2114434,0.037,0
2114435,0.131,0
2114436,0.125,0
2114437,0.05,0
2114438,0.086,0
2114439,0.07,0
2114440,0.076,0
2114441,0.064,0
2114442,0.06,0
2114443,0.26,0
2114446,0.203,0
2114447,0.233,0
2114448,0.138,0
2114449,0.084,0
2114450,0.073,0
2114451,0.067,0
2114452,0.128,0
2114453,0.066,0
2114454,0.117,0
2114455,0.07,0
2114456,0.044,0
2114457,0.076,0
2114458,0.081,0.0001017483
2114459,0.039,0
2114460,0.044,0
2114461,0.955,0
2114462,0.048,0
2114463,0.125,0
2114464,0.036,0
2114465,0.177,0
2114466,0.072,0
2114501,0.081,0
2114502,0.074,0
2114503,0.118,0
2114504,0.169,0
2114505,0.12,0
2114506,0.23,0
2114507,0.051,0
2114508,0.113,0
2114509,1.165,0
2114510,0.205,0
2114511,0.409,0
2114512,0.721,0
2114513,0.156,0
2114514,0.127,0
2114515,0.232,0
2114516,0.076,0
2114517,0.169,0
2114518,0.116,0
2114519,0.12,0
2114520,0.781,0
2114521,0.094,0
